,DK-114,Schaefer200,AAL,HCP-MMP
DK,0.02527,0.04174,0.04249,0.02874
DK-114,na,0.02921,0.03732,0.02604
DK-219,0.00782,0.03485,0.02873,0.02836
HCP-MMP,0.02837,0.02752,0.03017,na
BN,0.02541,0.02807,0.03489,0.02736
Schaefer200,0.03981,na,0.04228,0.03335
AAL,0.03846,0.04071,na,0.03198
arslan,0.04833,0.04317,0.03963,0.02883
baldassano,0.03512,0.02819,0.03645,0.03206
Brodmann,0.04213,0.03537,0.03667,0.0333
economo,0.04043,0.03722,0.03995,0.03486
ica,0.03826,0.02723,0.04464,0.03029
nspn500,0.02309,0.02841,0.03084,0.02854
power,0.05123,0.03599,0.03587,0.03356
shen,0.03741,0.02894,0.02909,0.02936
Schaefer300,0.03367,0.0207,0.03323,0.03323
Schaefer400,0.03078,0.01644,0.03235,0.02286
